MENTION;MENTION (AR);CODE;SEMESTRE;SESSION;FILIERE;VERSION;CODE ETUDES
TRONC COMMUN;;TC;SEMESTRE 8;PRINTEMPS;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 25;MRV25DPCTCPS8
TRONC COMMUN;;TC;SEMESTRE 8;PRINTEMPS;DROIT PUBLIC INTERNE ET MUTATIONS INSTITUTIONNELLES;VERSION 25;MRV25DPITCPS8
TRONC COMMUN;;TC;SEMESTRE 9;AUTOMNE;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 25;MRV25DPCTCAS9
TRONC COMMUN;;TC;SEMESTRE 9;AUTOMNE;DROIT PUBLIC INTERNE ET MUTATIONS INSTITUTIONNELLES;VERSION 25;MRV25DPITCAS9
TRONC COMMUN;;TC;SEMESTRE 10;PRINTEMPS;DROIT PRIV… ET SCIENCES CRIMINELLES;VERSION 25;MRV25DPCTCPS10
TRONC COMMUN;;TC;SEMESTRE 10;PRINTEMPS;DROIT PUBLIC INTERNE ET MUTATIONS INSTITUTIONNELLES;VERSION 25;MRV25DPITCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;AGENT COMMERCIAL ET CHARGE DE CLIENTELE;VERSION 25;LPV25ACCTCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;AGENT COMMERCIAL ET CHARGE DE CLIENTELE;VERSION 25;LPV25ACCTCPS6
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;INFORMATIQUE APPLIQUEE A LA FINANCE ET LA GESTION;VERSION 25;LPV25IAFTCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;INFORMATIQUE APPLIQUEE A LA FINANCE ET LA GESTION;VERSION 25;LPV25IAFTCPS6
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;MANAGEMENT BANCAIRE ET FINANCE PARTICIPATIVE;VERSION 25;LPV25MBFTCAS5
TRONC COMMUN ;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;MANAGEMENT BANCAIRE ET FINANCE PARTICIPATIVE;VERSION 25;LPV25MBFTCPS6
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 5;AUTOMNE;SCIENCES DES TECHNIQUES COMPTABLES ET FINANCIERES;VERSION 25;LPV25STCTCAS5
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 6;PRINTEMPS;SCIENCES DES TECHNIQUES COMPTABLES ET FINANCIERES;VERSION 25;LPV25STCTCPS6
TRONC COMMUN;tronc commun;TC;SEMESTRE 7;AUTOMNE;FAMILLE ET NOTARIAT;VERSION 25;MRV25FNTCAS7
TRONC COMMUN;tronc commun;TC;SEMESTRE 8;PRINTEMPS;FAMILLE ET NOTARIAT;VERSION 25;MRV25FNTCPS8
TRONC COMMUN;tronc commun;TC;SEMESTRE 9;AUTOMNE;FAMILLE ET NOTARIAT;VERSION 25;MRV25FNTCAS9
TRONC COMMUN;tronc commun;TC;SEMESTRE 10;PRINTEMPS;FAMILLE ET NOTARIAT;VERSION 25;MRV25FNTCPS10
TRONC COMMUN;TRONC COMMUN;TC;SEMESTRE 7;AUTOMNE;MANAGEMENT DES ENTREPRISES SOCIALES ET TERRITOIRES;VERSION 25;MRV25MSTTCAS7
TRONC COMMUN;tronc commun;TC;SEMESTRE 8;PRINTEMPS;MANAGEMENT DES ENTREPRISES SOCIALES ET TERRITOIRES;VERSION 25;MRV25MSTTCPS8
TRONC COMMUN;tronc commun;TC;SEMESTRE 9;AUTOMNE;MANAGEMENT DES ENTREPRISES SOCIALES ET TERRITOIRES;VERSION 25;MRV25MSTTCAS9
TRONC COMMUN;tronc commun;TC;SEMESTRE 10;PRINTEMPS;MANAGEMENT DES ENTREPRISES SOCIALES ET TERRITOIRES;VERSION 25;MRV25MSTTCPS10
TRONC COMMUN;tronc commun;TC;SEMESTRE 7;AUTOMNE;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CGFTCAS7
TRONC COMMUN;tronc commun;TC;SEMESTRE 8;PRINTEMPS;CONSTITUTION ET GOUVERNANCE FINANCI»RE;VERSION 25;MRV25CGFTCPS8
