FILIERE;FILIERE (AR);DEPARTEMENT;DIPLOME;CODE;LANGUE;COD_MEN;CODE STAT;GUICHET
MANAGEMENT, AUDIT ET CONTROLE DES ORGANISATIONS ;«·«œ«—…° «· œﬁÌﬁ Ê«·—ﬁ«»… ⁄·Ï «·„‰Ÿ„«  ;ECONOMIE ET GESTION;MASTER;MAC;FR;MACO25;MACO123;SCIENCES ECONOMIQUES ET GESTION
ENTREPRENEURIAT ET INGENIERIE DE PROJETS INNOVANTS ET DURABLES ;—Ì«œ… «·√⁄„«· ÊÂ‰œ”… «·„‘«—Ì⁄ «·„» ﬂ—… Ê«·„” œ«„…;ECONOMIE ET GESTION;MASTER;EIP;FR;EIPID25;EIPID25;SCIENCES ECONOMIQUES ET GESTION
LOGISTIQUE ET COMMERCE INTERNATIONAL ;«··ÊÃ” Ìﬂ Ê«· Ã«—… «·œÊ·Ì…  ;ECONOMIE ET GESTION;MASTER;LCI;FR;LCI25;LCI25;MASTER
COMPTABILITE, CONTROLE ET AUDIT ;«·„Õ«”»… Ê«·„—«ﬁ»… Ê«· œﬁÌﬁ;ECONOMIE ET GESTION;MASTER;CCA;FR;CCA25;CCA25;MASTER
ECONOMIE DE SANTE ET MANAGEMENT HOSPITALIER ;«ﬁ ’«œ «·’Õ… Ê≈œ«—… «·„” ‘›Ì« ;ECONOMIE ET GESTION;MASTER;ESM;FR;ESMH25;ESMH25;MASTER
JURISTE D'AFFAIRES ;«‰Ê‰ÌÊ «·√⁄„«· ;DROIT PRIVE FRANCAIS;MASTER;JFF;FR;JFF25;JFF25;MASTER
MARKETING ET BUSINESS ADMINISTRATION ;«· ”ÊÌﬁ Ê ≈œ«—… «·√⁄„«· ;ECONOMIE ET GESTION;MASTER;MBA;FR;MBA25;MBA25;MASTER
MODELISATION ECONOMIQUE ET FINANCE APPLIQUEE;«·‰„–Ã… «·≈ ﬁ ’«œÌ… Ê«·„«·Ì… «· ÿ»ÌﬁÌ…;ECONOMIE ET GESTION;MASTER;MFA;FR;MEFA25;MEFA25;MASTER
MANAGEMENT DES RESSOURCES HUMAINES ET STRATEGIE DES ORGANISATIONS;≈œ«—… «·„Ê«—œ «·»‘—Ì… Ê«” —« ÌÃÌ… «·„‰Ÿ„« ;ECONOMIE ET GESTION;MASTER SPECIALISE;MRH;FR;MRHSO25;MRHSO25;MASTER
GESTION ADMINISTRATIVE ET FINANCIERE PUBLIQUE; «· œ»Ì— «·≈œ«—Ì Ê«·„«·Ì «·⁄„Ê„Ì;DROIT PUBLIC ARABE;MASTER;GAF;FR;GAFP25;GAFP25;MASTER
ETUDES INTERNATIONALES; «·œ—«”«  «·œÊ·Ì…;DROIT PUBLIC ARABE;MASTER;EIN;FR;…IN25;…IN25;MASTER
 LES ETUDES JURIDIQUES ET METIERS DE LA JUSTICE; «·œ—«”«  «·ﬁ«‰Ê‰Ì… Ê„Â‰ «·⁄œ«·…;DROIT PRIVE ARABE;MASTER;EJM;FR;EJMJ25;EJMJ25;MASTER
CONSTITUTION ET GOUVERNANCE FINANCIERE; «·œ” Ê— Ê«·Õﬂ«„… «·„«·Ì…;DROIT PUBLIC ARABE;MASTER;CG2;FR;CG225;CG225;MASTER
JUSTICE PENALE;«·⁄œ«·… «·Ã‰«∆Ì… ;DROIT PRIVE ARABE;MASTER;JP2;FR;JP25;JP25;MASTER
DROIT FONCIERE ET CONTRATS ; «·ﬁ«‰Ê‰ «·⁄ﬁ«—Ì Ê«·⁄ﬁÊœ;DROIT PRIVE ARABE;MASTER;DF2;FR;DFC25;DFC25;MASTER
DROIT ET TECHNOLOGIES NUMERIQUES; «·ﬁ«‰Ê‰ Ê«· ﬂ‰Ê·ÊÃÌ«  «·—ﬁ„Ì…;DROIT PRIVE ARABE;MASTER;DTN;FR;DTN25;DTN25;MASTER
CONTENTIEUX ADMINISTRATIF ET DEVELOPPEMENT TERRITORIAL; «·„‰«“⁄«  «·≈œ«—Ì… Ê«· ‰„Ì… «· —«»Ì…;DROIT PUBLIC ARABE;MASTER;CD2;FR;CDAT25;CDAT25;MASTER
LES ETUDES JURIDIQUES ET METIERS DE LA JUSTICE;LES ?TUDES JURIDIQUES ET M?TIERS DE LA JUSTICE;DROIT PRIVE ARABE;MASTER-TA;EJM;FR;EJMJT;EJMJT;MASTER
LEGISLATIONS DE LA FAMILLE ET LA MIGRATION; ‘—Ì⁄«  «·√”—… Ê«·ÂÃ—…;DROIT PRIVE ARABE;MASTER;LFM;FR;LFM26;LFM26;MASTER
DROIT ADMINISTRATIF ET GESTION  REGIONALE ;«·ﬁ«‰Ê‰ «·≈œ«—Ì  Ê«· œ»Ì— «·ÃÂÊÌ;DROIT PUBLIC ARABE;MASTER;DAG;FR;DAGR26;DAGR26;MASTER
